section_id,section_or_object,status,count_floor,confidence,what_seems_to_exist,notes,source_codes
DSSEC-01,"Death Star turbolaser / gun tower family","confirmed","at least 2, likely many",High,"detachable-top tower miniatures","Auction records from 2016 and 2024 confirm real biscuit-foam gun towers with separate turret tops; Paul Huston identifies the Death Star cannon as the key model in ILM's first completed shot.","PS-DS-TOWER-2016; PS-DS-TOWER-2024; SW-HUSTON-2017"
DSSEC-02,"equatorial trench backwall / hangar-bay light strip","confirmed integrated section","1",Medium-High,"clear trench backwall with rectangular light openings","The trench appears to have been a physically distinct clear backwall/light system rather than just painted paneling; the current archive state seems altered.","HA-DS-BLUEPRINTS-2025; RPF-DS-PRE; RPF-DS-PROD"
DSSEC-03,"one-shot trench crane","confirmed object","1",Medium-High,"a distinct crane-type special structure","The crane is real enough to appear in local specialist threads and an official StarWars.com fan feature describing it as glimpsed briefly from a single angle in one shot during the trench run.","SW-FANS-2017; RPF-DS-CRANE"
DSSEC-04,"silo / tower special structures","probable family","at least 1 family",Medium,"silo-like surface structures distinct from gun towers","The local tower thread argues these are their own special structures, built from a different logic than the turbolaser towers.","RPF-DS-TOWERS"
DSSEC-05,"Death Star docking bay gantry","probable single object","1",Medium,"rust-colored gantry-type miniature","Local gantry research says the original was built by Jon Erland and that the reconstruction is based on a behind-the-scenes image showing the miniature being built.","RPF-DS-GANTRY"
DSSEC-06,"Death Star hangar / magnetic-shield bay miniature section","probable section","1",Medium-Low,"a miniature hangar accent section associated with the gantry","The gantry evidence implies a larger Death Star docking-bay miniature context, likely including the magnetic-shield bay area seen with the Falcon.","RPF-DS-GANTRY"
DSSEC-07,"ceiling-mounted Dykstraflex / hangar crane accent","candidate section","0-1",Low-Medium,"possible hanging ceiling rig or accent element in the hangar miniature","The local gantry thread mentions a replica Dykstraflex hanging above on the hangar ceiling, implying an original ceiling-hung accent or rig.","RPF-DS-GANTRY"
DSSEC-08,"deflection tower","candidate section","0-1 family",Low-Medium,"likely a real named Death Star structure, miniature not yet visually locked","The dialogue reference clearly belongs to ANH, and local specialists keep circling it, but the current evidence set does not yet securely match a physical miniature object.","RPF-DS-GANTRY"
DSSEC-09,"large radar dish or other dish-like Death Star accessory","candidate section","open",Low,"unresolved dish-type candidate","Not yet strong enough to state as a closed row; may be a real special section or a memory-collision with other Death Star details.","RPF-DS-PRE; RPF-DS-PROD"
DSSEC-10,"torpedo target / exhaust-port target section","candidate section","open",Low,"unresolved target-area special section","No convincing current evidence that the torpedo-hit area survived or was built as a separately identifiable special section beyond the trench/backwall system.","HA-DS-BLUEPRINTS-2025; RPF-DS-PROD"
