class,lineage_id,physical_object_or_family,object_level,build_type,identity_state_sequence,anh_status,confidence,notes,source_codes
X-Wing,XW-L1,"Blue 1 / later Red 2 hero","exact single object","hero / motion-control","Blue 1 -> Red 2","screen-used",High,"First completed ILM X-wing; shipped to England as Blue 1 and later finished as Red 2.","ILM-XW-2025"
X-Wing,XW-L2,"Red 1 hero","exact single object","hero / motion-control","Red 1","screen-used",High,"One of the four bespoke hero X-wings; consistent across ILM and Heritage hero descriptions.","ILM-XW-2025; HA-XW-HERO-2023"
X-Wing,XW-L3,"Red 3 hero","exact single object","hero / motion-control","Red 3","screen-used",High,"Separate hero object, distinct from the pyro lineage later dressed as Red 3.","ILM-XW-2025; PS-XW-PYRO-2022"
X-Wing,XW-L4,"Red 5 hero","exact single object","hero / motion-control","Red 5; later archive Red 4 grey-over state","screen-used",High,"Official ILM evidence indicates the archive Red 4 look is a later state of Red 5, not a separate ANH hero build.","ILM-XW-2025; RPF-XW-TIMELINE"
X-Wing,XW-L5,"unfinished fifth hero","probable single object","unfinished hero lineage","unfinished only","unclear screen use",Medium,"ILM states there was a fifth unfinished hero example that remained with the shop.","ILM-XW-2025"
X-Wing,XW-L6,"Red 1 pyro lineage later dressed as Red 3","exact single object","high-finish pyro","Red 1 -> repaired -> Red 3","screen-used",High,"Best-documented X-wing pyro lineage.","ILM-XW-2025; PS-XW-PYRO-2022"
X-Wing,XW-L7,"Red 4 pyro","likely single object","high-finish pyro","Red 4","screen-used",Medium,"Secure as a named pyro state, but with a less exposed surviving object history than XW-L6.","ILM-XW-2025"
X-Wing,XW-L8,"Red 6 / later Red 10 pyro lineage","likely single object","high-finish pyro","Red 6 -> parts donor / reworked -> Red 10","screen-used",Medium,"Treated as one evolving physical lineage unless stronger object-level evidence appears.","ILM-XW-2025"
X-Wing,XW-L9,"Red 12 pyro","likely single object","high-finish pyro","Red 12","screen-used",Medium,"Secure named pyro state; exact survival chain remains less exposed.","ILM-XW-2025"
X-Wing,XW-L10,"later crude pyros","object family","crude pyro family","generic or minimally marked states","screen-used in destruction shots",High,"Rougher late pyros should not be collapsed into the named high-finish pyro set.","ILM-XW-2025; PS-XW-CRUDER-2023"
Y-Wing,YW-L0,"Colin Cantwell first-pass Y-wing","probable single object","concept / pre-ILM reference","prototype only","not a filming miniature",Medium,"Design origin object rather than final ILM filming miniature.","RPF-YW-ID"
Y-Wing,YW-L1,"Red Jammer / Red Y-Wing","likely single object","pre-production / reference miniature","red-striped early build","apparently not screen-used",Medium-High,"Sent incomplete to England for set-reference work and later returned finished.","RPF-YW-ID; ILM-XW-2025"
Y-Wing,YW-L2,"Gold Leader / TIE Killer","exact single object","high-finish hero filming miniature","Gold Leader; later TIE Killer collection label","screen-used",High,"Most secure ANH Y-wing object in the current evidence set; Heritage calls it one of only two hero Y-wings.","HA-YW-2024; RPF-YW-ID"
Y-Wing,YW-L3,"Tiger Sprockets / Alan Ladd Jr Y-wing","likely single object","high-finish filming miniature","Tiger Sprockets collection label","screen-used",Medium,"Distinct preserved ANH filming Y-wing, but with exact screen role disputed against Gold Leader / TIE Killer claims.","PS-ALJ-YW-2015; RPF-YW-ID"
Y-Wing,YW-L4,"red stripe blue artoo / Magic of Myth / MOM touring object","single preserved object","finished filming miniature","archive / exhibition red stripe blue artoo state","probable ANH filming miniature",Medium,"Definitely one preserved object in the archive/exhibition trail; unresolved only whether it is distinct from the other preserved ANH Y-wings or another known ship in later archive state.","RPF-YW-ID; USER-YW-MOM-2026-04-16"
Y-Wing,YW-L5,"Triangles","likely single object","pyro lineage","Triangles","screen-used in destruction work",Medium,"Distinct enough in fan research to treat as one pyro lineage, with fragment-sale support.","RPF-YW-ID; PS-YW-PYRO-2023"
Y-Wing,YW-L6,"crude nose-mounted pyros","object family","crude pyro family","generic gray-speckled / rough states","screen-used in destruction work",Medium-High,"Should be kept separate from the high-finish surviving Y-wings.","RPF-YW-ID; PS-YW-PYRO-2023"
TIE Fighter,TF-L0,"maroon / pink test TIE","likely single object","pre-final camera test","maroon two-tone test state","test only",High,"Wedge evidence dated 3/6/1976 strongly supports this as a real pre-final test object.","RPF-TIE-MAROON"
TIE Fighter,TF-L1,"plain-hull ANH TIE family","object family","standard filming family","mostly unmarked light-grey hull states","screen-used",Medium,"Baseline ANH TIE family; ship-by-ship individuation is usually impossible from the reviewed evidence.","RPF-TIE-SPOT"
TIE Fighter,TF-L2,"Chronicles marked TIE lineage","likely single object","finished filming miniature","dark-grey accented / yellow-square ANH state","screen-used",Medium,"Strong enough to treat as one distinct object-like lineage.","RPF-TIE-SPOT"
TIE Fighter,TF-L3,"Edlund damaged-wing TIE","likely single assembled object","shot-specific damage model","damaged-wing state","screen-used",Medium,"Handled as a distinct damage-model lineage or assembly because the discussed part history is unusually specific.","RPF-TIE-SPOT"
TIE Fighter,TF-L4,"ANH TIE pyros","object family","pyro destruction family","shot-down explosion states","screen-used in destruction work",High,"Auction remnants directly confirm ANH TIE pyros and their construction logic.","PS-TIE-PYRO-2020"
TIE Fighter,TF-L5,"unfinished TIE production components","production pipeline evidence","incomplete components","component level only","not a complete filming miniature",High,"Not a separate ship, but direct evidence of active ANH TIE casting and assembly.","PS-TIE-COMP-2023"
