model_row_id,program_group,subject_or_object,start_date,end_date,evidence_band,milestone_type,what_happened,known_people,filming_relation,confidence,source_codes,main_timeline_links
MTL-001,fighters,X-Wing filming design,1975-09,1975-12,Range,build development,"ILM moves from concept X-wings to shootable filming miniatures, working out fuselage bucks, armatures, wing mechanisms, and revised shell geometry.","David Beasley; Grant McCune; David Grell; Joe Johnston; Dave Jones and others",development of the final ANH X-wing miniature family,High,ILM-XW-2025,TL-010
MTL-002,fighters,Blue 1 X-wing,1975-12,1975-12-26,Exact-ish,reference build / export,"The first completed ILM X-wing is finished, detailed, and shipped to John Barry in England.","Lorne Peterson; Jon Erland; Steve Gawley; Joe Johnston; John Barry",used as cockpit / set reference before its final ANH hero state,High,ILM-XW-2025,TL-012
MTL-003,fighters,Blue 1 to Red 2 X-wing,1976-01,1976-02,Range,completion / redress,"After returning from England, Blue 1 is completed with cockpit, pilot, and electrical finishing and redressed into Red 2.","Grant McCune; Joe Johnston; Steve Gawley and team",becomes a finished hero filming miniature,High,ILM-XW-2025,TL-014
MTL-004,fighters,hero and pyro X-Wing fleet,1976,1977,Range,production-line expansion,"The X-wing program expands into a mixed fleet of bespoke hero miniatures, high-finish pyros, and rougher destruction stand-ins.","Van Nuys model shop; mold shop; stage crew",active miniature photography and destruction work through the main battle-effects phase,High,"ILM-XW-2025; ASC-SW-1977",TL-023
MTL-005,fighters,first ILM Y-Wing / Red Jammer,1975-12,,Range,prototype / reference build,"The first ILM Y-wing exists by December 1975 and is sent incomplete to England so the full-size prop builders can blueprint and mock up the 1:1 set piece.","early Y-wing crew; likely Joe Johnston / model-shop staff",reference support rather than a securely documented finished ANH hero state,Medium-High,"RPF-YW-ID; HA-YW-2024",TL-011
MTL-006,fighters,Y-wing Number One master pattern,1976-03,1976-06,Range,master pattern build,"Real Y-wing build work is underway by spring 1976, with Paul Huston building the master pattern / hero buck used to generate the ANH Y-wing family.","Paul Huston and model-shop crew",pattern source for later filming miniatures,Medium-High,HA-YW-BUCK-2025,TL-019
MTL-007,fighters,hero Y-Wing family,1976,1977,Range,filming miniature family,"High-finish Y-wing miniatures are in service for trench and formation work, though the exact object-to-callsign mapping is still partly contested.","Paul Huston and model-shop crew",active hero filming miniatures for the battle program,Medium,"HA-YW-2024; HA-YW-BUCK-2025; RPF-YW-ID","TL-019; TL-023"
MTL-008,fighters,Y-Wing pyro family,1976,1977,Range,destruction program,"A separate Y-wing pyro family exists alongside the surviving high-finish ships.","model shop; mold shop; stage crew",destruction stand-ins rather than the preserved hero survivors,Medium,"PS-YW-PYRO-2023; RPF-YW-ID",TL-023
MTL-009,fighters,maroon test TIE Fighter,1976-03-06,,Exact,comp test,"A dated maroon two-tone TIE test miniature is photographed under motion-blur / compositing conditions.","original ILM test crew",camera / compositing test proving TIE shooting is active by this date,High,RPF-TIE-MAROON,TL-016
MTL-010,fighters,standard ANH TIE family,1976,1977,Range,finalized filming family,"After the test phase, the ANH TIE program settles into the familiar light-grey family, including marked and damaged states.","Van Nuys model shop and stage crew",standard battle miniatures used in motion-control photography,Medium,"ASC-SW-1977; RPF-TIE-SPOT; RPF-TIE-MAROON","TL-016; TL-023"
MTL-011,fighters,TIE pyro family,1976,1977,Range,destruction program,"Dedicated TIE pyrotechnic units are built for shot-down explosion work.","model shop; pyro / stage crew",destruction stand-ins separate from standard stage-shot TIEs,High,PS-TIE-PYRO-2020,TL-023
MTL-012,non-fighter,Escape Pod design,1975-09-25,,Exact,design documentation,"A production blueprint signed Johnston 9/25/75 anchors the Escape Pod as one of the earliest precisely dated ANH miniature designs.","Joe Johnston",earliest firm date anchor for this miniature line,High,HA-EP-BP-2025,TL-009
MTL-013,non-fighter,Escape Pod miniature and launch setup,1975-09,1976,Inference,build / shot setup,"The main Escape Pod miniature and some launch-specific handling or rigging setup must exist by the time active Death Star and ship miniature work is underway, but the exact build and filming dates are still open.","Joe Johnston and model-shop crew",real filming miniature plus probable shot-specific launch support arrangement,Medium-Low,"HA-EP-BP-2025; RPF-EP",TL-009
MTL-014,Death Star,Death Star cannon,1976,,Inference,early miniature photography,"Paul Huston says the Death Star cannon, built with Stuart Ziff, was the key model in the first completed ILM shot.","Paul Huston; Stuart Ziff",early functioning-stage photography anchor,Medium,SW-HUSTON-2017,TL-020
MTL-015,Death Star,main sphere and surface system,1976,1977,Range,major system build,"The Death Star assault work relies on one main sphere plus a large interlocking system of surface pieces, low-altitude tiles, and related panel families.","broad Death Star build crew",active miniature system for approach trench and battle shots,Medium-High,"PS-DS-SURFACE-2018; RPF-DS-PRE; RPF-DS-PROD","TL-020; TL-023"
MTL-016,Death Star,trench special sections,1976,1977,Range,special-section build / use,"The trench program includes more than generic panels: gun towers, trench backwall lighting, the one-shot crane, silo / tower pieces, and the docking-bay gantry family.","specific builders partly open; local attribution ties the gantry to Jon Erland",special sections used in close trench and docking-bay miniature work,Medium,"RPF-DS-CRANE; RPF-DS-GANTRY; RPF-DS-TOWERS; RPF-DS-PROD","TL-020; TL-023"
MTL-017,non-fighter,large Blockade Runner,1976,1976,Range,main filming miniature,"A larger detailed Blockade Runner is part of the ANH model program, distinct from the small recession model.","exact build team still open; later provenance touches Grant McCune and Richard Edlund circles",likely used for the main detailed photography though shot-to-model mapping is still incomplete,Medium,"RPF-BR-SMALL; RPF-BR-BUILD; RPF-BR-INFO",TL-022
MTL-018,non-fighter,small Blockade Runner / recession model,1976,1976,Range,special-purpose build,"A unique 16-inch Blockade Runner is built to create the illusion of recession in the opening shot because of limited track length.","Richard Edlund cited in provenance trail; Grant McCune collection provenance",built for one tightly defined opening-shot job,Medium-High,HA-BR-SMALL-2015,TL-022
MTL-019,non-fighter,Landspeeder miniature family,1976,1976,Inference,filming miniature family,"At least two ANH Landspeeder miniatures existed apart from the full-size prop, but their exact states and build chronology remain open.","ILM vehicle miniature crew not yet pinned",real ANH miniatures but still weakly dated in the current evidence set,Medium,"RPF-LS; USER-LS-2026-04-16",
MTL-020,non-fighter,Sandcrawler miniature,1976,1976,Range,large team build,"The Sandcrawler is remembered by Paul Huston as a model almost everyone touched once the shop hit a more efficient production rhythm.","Paul Huston; broad model-shop crew",one of the clearest shared-shop builds in the ANH program,Medium-High,"SW-HUSTON-2017; RPF-SC",TL-021
