"source_file","model_or_topic","evidence_tier","evidence_type","time_window_fit","why_it_matters","notes"
"amazing Chrew video document from 1976 ILM workshop online.txt","ILM shop environment","A","Thread pointing to 1976 workshop footage","Direct","Likely the best local pointer to actual 1976 shop activity and workspace context","Thread itself is brief; the value is the linked footage"
"American Cinematographer - July 1977.txt","Production methods","A","Thread pointing to July 1977 ASC article","Direct","Likely strongest local pointer to period reporting on miniature and mechanical effects","Thread itself is brief; the value is the linked article"
"The first Star Wars miniature_.txt","Small Blockade Runner opener miniature","B","Focused discussion with auction-era specifics","Direct","Useful for separating the small opening model from the large Blockade Runner miniature","Includes claims about the 16-inch metal model and its function in the opening shot"
"Blockade runner info.txt","Blockade Runner / Tantive IV lineage","B","Model-specific discussion of ANH versus later versions","Direct but mixed with later history","Useful for distinguishing ANH appearance from later redress and restoration history","Covers later ROTJ conversion context too"
"Blockade Runner.txt","Blockade Runner / Tantive IV","B","General model thread","Direct but broad","Likely additional context around the ship's build, detail, and variants","Needs closer read before using specific claims"
"Anh Imperial Cruiser - Star Destroyer Devestator.txt","Imperial Star Destroyer / Devastator","B","Model-specific research thread","Direct","Likely anchor thread for ANH Devastator discussion","Needs extraction pass"
"ANH-Star Destroyer.txt","Imperial Star Destroyer / Devastator","B","Model-specific thread","Direct","Good companion source for Devastator-specific notes","Needs extraction pass"
"Star Destroyer Devestator Reference Thread.txt","Imperial Star Destroyer / Devastator","B","Reference aggregation thread","Direct","Likely a useful image and detail hub for the ANH Star Destroyer","Best used alongside the ANH-labeled Devastator threads"
"5 foot ANH Millennium Falcon.txt","Millennium Falcon 5-foot ANH model","B","Model-specific ANH thread","Direct","Likely the best Falcon anchor inside this ANH-only subset","Keep separate from later 32-inch ESB Falcon material"
"5 Foot Falcon Replica - ANH.txt","Millennium Falcon 5-foot ANH model","C","Replica build informed by references","Direct subject, indirect evidence","Useful as a map to details and references already surfaced by builders","Do not treat replica conclusions as proof without backtracking sources"
"ANH Millennium Falcon Plans (First Revision).txt","Millennium Falcon 5-foot ANH model","C","Builder planning and reference consolidation","Direct subject, indirect evidence","May help identify repeated measurements and common reference assumptions","Needs verification against stronger sources"
"ANH 5' Falcon with Dykstraflex.txt","Falcon plus motion-control hardware context","C","Modern exhibit thread showing restored Dykstraflex context","Indirect","Useful for Dykstraflex context and museum presentation of ANH-era technology","Not evidence of original 1976-1977 construction"
"ILM X-Wing Models_ Timeline & Status.txt","X-Wing model identities and later status","B","Long-running archival and lineage discussion","Direct subject, later-history heavy","Useful for sorting which X-Wing survived, changed identity, or appears in later archive photos","Not build-period evidence by itself"
"ANH Pyro X-Wing References - Mainly_ Red 6 Search.txt","ANH pyro X-Wing","B","Focused reference and identification thread","Direct","Likely central for the ANH pyro variant, especially Red 6","Needs extraction pass"
"X-Wing Research_ Differences Between the Hero and Pyro Models.txt","X-Wing hero versus pyro variants","B","Variant-comparison research thread","Direct","Useful for separating original ANH X-Wing classes and avoiding variant confusion","Probably high-value for a ship-by-ship dossier"
"The Dave Jones Pyro Xwing.txt","X-Wing production-lineage castings","B","Modern thread with lineage claims tied to Dave Jones","Direct subject, later discussion","Potentially important for provenance because it mentions molds made by Dave Jones from ILM","Needs careful handling because claims are made in a modern sales and discussion context"
"ANH 1_24 X-Wing Reference Photos.txt","ANH X-Wing imagery","C","Reference-photo aggregation thread","Direct","Likely a useful image waypoint for X-Wing comparison work","Good support thread, not a primary proof source"
"ILM X-wing photos.txt","X-Wing archival photos","B","Image aggregation thread","Direct","Useful shortcut to archival X-Wing photos and identity discussion","Includes later archive-image interpretation"
"ILM Gold Leader Reference Images....txt","Y-Wing Gold Leader","B","Image-rich model-specific thread","Direct","Likely one of the better local Y-Wing image hubs","Includes discussion about later paint or glaze changes versus filming state"
"Y-Wing Identification Thread.txt","Y-Wing donor and variant mapping","B","Model-specific identification thread","Direct","Likely anchor for sorting Y-Wing versions and visible donor parts","Needs extraction pass"
"Y-Wing Parts Map for the _Green Leader_ Project - open source.txt","Y-Wing donor kit mapping","C","Open-source parts-map thread","Direct subject, indirect evidence","Very useful for donor-part tracing and organized kit-part mapping","Use as support and trace claims backward when possible"
"Anh Escape Pod Research Thread.txt","ANH Escape Pod","B","Research thread with verified kit-list framing","Direct","Strong donor-kit and construction lead because the first post is explicitly a verified list and map hub","High-value starting point for Escape Pod work"
"escape pod kit list.txt","ANH Escape Pod","C","Supporting kit-list thread","Direct","Useful companion source for donor-kit consolidation","Best used with the main research thread"
"ANH - Training Remote Build.txt","Training Remote","C","Build and reference thread","Direct subject, indirect evidence","Useful if the research expands beyond ships into smaller ILM-built ANH miniatures","Needs source tracing"
"ANH Death Star Turret Builder's Guide.txt","Death Star turret","C","Builder guide with reference value","Direct subject, indirect evidence","Useful for Death Star gun or trench-side miniature work if that becomes part of scope","Needs source tracing"
"140 photos of models built for Star Wars.txt","General visual reference dump","C","Image-link aggregation thread","Mixed","Broad visual reference source across multiple Star Wars miniatures","Likely more useful as a visual waypoint than as evidence"
"ILM Studio Scale Y, X wing, and OTHERS large pics for reference.txt","General X-Wing and Y-Wing visual reference","C","Image aggregation thread","Mixed","Useful shortcut to large archival or exhibit photos","Good support source for comparison work"
"Star Wars (the original only) model kit list_.txt","Meta donor-kit research","C","Meta thread about kit-list sources","Direct subject, indirect evidence","Useful for finding other kit-list threads and understanding existing research gaps","Helpful as a roadmap, not as proof"
