claim_id,claim_or_label_under_dispute,most_likely_mapping,main_conflict_or_caution,current_disposition,confidence,source_codes
YWC-C01,Gold Leader screen identity,YWC-O2,"Some later fan arguments shift specific shots elsewhere, but the strongest archive / auction evidence still points here.",best current match,High,"HA-YW-2024; RPF-YW-ID"
YWC-C02,TIE Killer,YWC-O2,"This is a later collector / fan handle, not necessarily a period ILM name.",same object as Gold Leader survivor,High,"HA-YW-2024; RPF-YW-ID"
YWC-C03,Gold Two / Tiree,YWC-O6,"The blue / gray visual identity is discussed locally, but the surviving-object trail is weak.",useful working mapping,Medium,"RPF-YW-ID; RPF-YW-KIT"
YWC-C04,Tiger Sprockets,YWC-O3,"Strong as a preserved object handle, weaker as a locked screen callsign.",same object as Alan Ladd Jr survivor,Medium-High,"PS-ALJ-YW-2015; RPF-YW-ID"
YWC-C05,red stripe blue artoo / Magic of Myth / MOM,YWC-O4,"Secure as one preserved object handle; unresolved only at the deeper object-lineage level.",same object as archive / touring survivor,High,"RPF-YW-ID; USER-YW-MOM-2026-04-16"
YWC-C06,Triangles,YWC-O5,"The name is fan shorthand, but it is anchored by a distinct visual marking pattern and pyro evidence.",useful working object label,Medium,"RPF-YW-ID; RPF-YW-KIT; PS-YW-PYRO-2023"
YWC-C07,Gold Leader / TIE Killer was the miniature most famous for leading the first trench run before Vader destroyed it,YWC-O2,"Heritage says this plainly, but that may compress screen identity and physical destruction model into one sentence.",plausible but should be read carefully,Medium,"HA-YW-2024"
YWC-C08,Alan Ladd Jr Y-wing is seen in close-up as the three Y-wings form up and is the first ship Vader destroys on screen,YWC-O3,"This conflicts directly with the Heritage framing of YWC-O2; it may refer to a specific photographed miniature state rather than the whole role.",contested but real claim,Medium,"PS-ALJ-YW-2015"
YWC-C09,The physical model blown up in the Gold Leader death scene is actually Triangles,YWC-O5,"This is a local shot-analysis claim rather than a formal auction statement, but it appears repeatedly and coherently.",strong local working conclusion,Medium,"RPF-YW-BUILD-2011; RPF-YW-KIT"
YWC-C10,Tiger Sprockets and the blue / gray Gold Two candidate are the same physical object,"YWC-O3 + YWC-O6 merged","Some local researchers speak of Tiger sprocket/Blue grey as one thing, but no single external source closes that loop cleanly.",open and plausible,Low-Medium,"RPF-YW-KIT"
YWC-C11,Magic of Myth / MOM and Tiger Sprockets are the same physical object,"YWC-O3 + YWC-O4 merged","Local structural comparisons link them, but the modern provenance trails are different enough that I do not want to merge them yet.",unresolved leaning separate,Low,"RPF-YW-BUILD-2011; RPF-YW-ID; USER-YW-MOM-2026-04-16"
YWC-C12,Magic of Myth / MOM and the blue / gray Gold Two candidate are the same physical object,"YWC-O4 + YWC-O6 merged","Local detail-family arguments point this way, but the published evidence trail is still too thin to collapse them confidently.",unresolved plausible,Low-Medium,"RPF-YW-KIT; RPF-YW-BUILD-2011; USER-YW-MOM-2026-04-16"
YWC-C13,Only 2 hero Y-wings were built for ANH,"YWC-O2 definite; second slot unresolved among YWC-O3 / YWC-O4 / YWC-O6","Heritage is strong on the count, but local fan taxonomy sometimes labels more than two survivors as hero-like.",count likely right object matching still open,Medium,"HA-YW-2024; RPF-YW-ID; RPF-YW-KIT"
YWC-C14,The Y-wing that survives the Battle of Yavin is best matched to the Gold Leader survivor,YWC-O2,"This is a local consensus-type inference, not a locked object match.",best current guess,Low-Medium,"RPF-YW-ID"
